Iter 0360 | Time 2.6777(2.5588) | Bit/dim 2.1430(2.2877) | Logit LogP -1457.0869(-1515.3935) | Steps 103(103.31) | Reg 0.0000(0.0000)
Iter 0370 | Time 2.5416(2.5476) | Bit/dim 2.1447(2.2602) | Logit LogP -1431.4303(-1499.8394) | Steps 103(103.22) | Reg 0.0000(0.0000)
Iter 0380 | Time 2.6488(2.5695) | Bit/dim 2.1206(2.2272) | Logit LogP -1433.3704(-1483.4731) | Steps 103(103.17) | Reg 0.0000(0.0000)
Iter 0390 | Time 2.4803(2.5687) | Bit/dim 2.1025(2.2120) | Logit LogP -1413.8193(-1473.6689) | Steps 103(103.12) | Reg 0.0000(0.0000)
Iter 0400 | Time 2.5600(2.5652) | Bit/dim 2.1032(2.1881) | Logit LogP -1433.0383(-1460.8556) | Steps 103(103.09) | Reg 0.0000(0.0000)
Iter 0410 | Time 3.0846(2.6241) | Bit/dim 2.1718(2.1711) | Logit LogP -1448.4554(-1452.4820) | Steps 115(104.41) | Reg 0.0000(0.0000)
Iter 0420 | Time 2.4505(2.6329) | Bit/dim 2.1058(2.1544) | Logit LogP -1408.4884(-1443.7250) | Steps 103(104.60) | Reg 0.0000(0.0000)
Iter 0430 | Time 2.9909(2.6586) | Bit/dim 2.0482(2.1359) | Logit LogP -1395.7041(-1433.7971) | Steps 109(104.85) | Reg 0.0000(0.0000)
Iter 0440 | Time 2.8670(2.7233) | Bit/dim 2.0386(2.1189) | Logit LogP -1394.6960(-1424.2075) | Steps 109(107.33) | Reg 0.0000(0.0000)
Iter 0450 | Time 3.0422(2.7745) | Bit/dim 2.0655(2.1102) | Logit LogP -1389.8586(-1417.3434) | Steps 109(108.25) | Reg 0.0000(0.0000)
Iter 0460 | Time 2.7282(2.7736) | Bit/dim 2.0197(2.0943) | Logit LogP -1377.7633(-1409.8594) | Steps 109(108.31) | Reg 0.0000(0.0000)
Iter 0470 | Time 3.0607(2.8223) | Bit/dim 2.0222(2.0774) | Logit LogP -1393.9684(-1401.4144) | Steps 115(109.48) | Reg 0.0000(0.0000)
Iter 0480 | Time 3.0017(2.8411) | Bit/dim 2.1490(2.0666) | Logit LogP -1453.7102(-1397.8018) | Steps 115(110.62) | Reg 0.0000(0.0000)
Iter 0490 | Time 2.4555(2.8193) | Bit/dim 2.0926(2.0777) | Logit LogP -1410.1044(-1402.3390) | Steps 103(109.64) | Reg 0.0000(0.0000)
